,trip_id,trip_headsign
126,ASP22GEN-1037-Sunday-00_082150_1..S03R,South Ferry
127,ASP22GEN-1037-Sunday-00_082850_1..N03R,Van Cortlandt Park-242 St
128,ASP22GEN-1037-Sunday-00_082950_1..S03R,South Ferry
129,ASP22GEN-1037-Sunday-00_083650_1..N03R,Van Cortlandt Park-242 St
130,ASP22GEN-1037-Sunday-00_083750_1..S03R,South Ferry
131,ASP22GEN-1037-Sunday-00_084450_1..N03R,Van Cortlandt Park-242 St
132,ASP22GEN-1037-Sunday-00_084550_1..S03R,South Ferry
133,ASP22GEN-1037-Sunday-00_085250_1..N03R,Van Cortlandt Park-242 St
134,ASP22GEN-1037-Sunday-00_085350_1..S03R,South Ferry
135,ASP22GEN-1037-Sunday-00_086050_1..N03R,Van Cortlandt Park-242 St
136,ASP22GEN-1037-Sunday-00_086150_1..S03R,South Ferry
137,ASP22GEN-1037-Sunday-00_086850_1..N03R,Van Cortlandt Park-242 St
138,ASP22GEN-1037-Sunday-00_086950_1..S03R,South Ferry
139,ASP22GEN-1037-Sunday-00_087650_1..N03R,Van Cortlandt Park-242 St
140,ASP22GEN-1037-Sunday-00_087750_1..S03R,South Ferry
141,ASP22GEN-1037-Sunday-00_088450_1..N03R,Van Cortlandt Park-242 St
142,ASP22GEN-1037-Sunday-00_088550_1..S03R,South Ferry
143,ASP22GEN-1037-Sunday-00_089250_1..N03R,Van Cortlandt Park-242 St
144,ASP22GEN-1037-Sunday-00_089350_1..S03R,South Ferry
145,ASP22GEN-1037-Sunday-00_090050_1..N03R,Van Cortlandt Park-242 St
146,ASP22GEN-1037-Sunday-00_090150_1..S03R,South Ferry
147,ASP22GEN-1037-Sunday-00_090850_1..N03R,Van Cortlandt Park-242 St
148,ASP22GEN-1037-Sunday-00_090950_1..S03R,South Ferry
149,ASP22GEN-1037-Sunday-00_091650_1..N03R,Van Cortlandt Park-242 St
150,ASP22GEN-1037-Sunday-00_091750_1..S03R,South Ferry
151,ASP22GEN-1037-Sunday-00_092450_1..N03R,Van Cortlandt Park-242 St
152,ASP22GEN-1037-Sunday-00_092550_1..S03R,South Ferry
153,ASP22GEN-1037-Sunday-00_093250_1..N03R,Van Cortlandt Park-242 St
154,ASP22GEN-1037-Sunday-00_093350_1..S03R,South Ferry
155,ASP22GEN-1037-Sunday-00_094050_1..N03R,Van Cortlandt Park-242 St
156,ASP22GEN-1037-Sunday-00_094150_1..S03R,South Ferry
157,ASP22GEN-1037-Sunday-00_094850_1..N03R,Van Cortlandt Park-242 St
158,ASP22GEN-1037-Sunday-00_094950_1..S03R,South Ferry
159,ASP22GEN-1037-Sunday-00_095650_1..N03R,Van Cortlandt Park-242 St
160,ASP22GEN-1037-Sunday-00_095750_1..S03R,South Ferry
161,ASP22GEN-1037-Sunday-00_096450_1..N03R,Van Cortlandt Park-242 St
162,ASP22GEN-1037-Sunday-00_096550_1..S03R,South Ferry
163,ASP22GEN-1037-Sunday-00_097250_1..N03R,Van Cortlandt Park-242 St
164,ASP22GEN-1037-Sunday-00_097350_1..S03R,South Ferry
165,ASP22GEN-1037-Sunday-00_098050_1..N03R,Van Cortlandt Park-242 St
166,ASP22GEN-1037-Sunday-00_098150_1..S03R,South Ferry
167,ASP22GEN-1037-Sunday-00_098850_1..N03R,Van Cortlandt Park-242 St
168,ASP22GEN-1037-Sunday-00_098950_1..S03R,South Ferry
169,ASP22GEN-1037-Sunday-00_099650_1..N03R,Van Cortlandt Park-242 St
170,ASP22GEN-1037-Sunday-00_099750_1..S03R,South Ferry
171,ASP22GEN-1037-Sunday-00_100450_1..N03R,Van Cortlandt Park-242 St
172,ASP22GEN-1037-Sunday-00_100550_1..S03R,South Ferry
173,ASP22GEN-1037-Sunday-00_101250_1..N03R,Van Cortlandt Park-242 St
174,ASP22GEN-1037-Sunday-00_101350_1..S03R,South Ferry
175,ASP22GEN-1037-Sunday-00_102050_1..N03R,Van Cortlandt Park-242 St
176,ASP22GEN-1037-Sunday-00_102150_1..S03R,South Ferry
177,ASP22GEN-1037-Sunday-00_102850_1..N03R,Van Cortlandt Park-242 St
178,ASP22GEN-1037-Sunday-00_102950_1..S03R,South Ferry
179,ASP22GEN-1037-Sunday-00_103650_1..N03R,Van Cortlandt Park-242 St
180,ASP22GEN-1037-Sunday-00_103750_1..S03R,South Ferry
181,ASP22GEN-1037-Sunday-00_104450_1..N03R,Van Cortlandt Park-242 St
182,ASP22GEN-1037-Sunday-00_104550_1..S03R,South Ferry
183,ASP22GEN-1037-Sunday-00_105250_1..N03R,Van Cortlandt Park-242 St
184,ASP22GEN-1037-Sunday-00_105350_1..S03R,South Ferry
185,ASP22GEN-1037-Sunday-00_106050_1..N03R,Van Cortlandt Park-242 St
186,ASP22GEN-1037-Sunday-00_106150_1..S03R,South Ferry
187,ASP22GEN-1037-Sunday-00_106850_1..N03R,Van Cortlandt Park-242 St
188,ASP22GEN-1037-Sunday-00_106950_1..S03R,South Ferry
189,ASP22GEN-1037-Sunday-00_107650_1..N03R,Van Cortlandt Park-242 St
190,ASP22GEN-1037-Sunday-00_107750_1..S03R,South Ferry
191,ASP22GEN-1037-Sunday-00_108450_1..N03R,Van Cortlandt Park-242 St
192,ASP22GEN-1037-Sunday-00_108550_1..S03R,South Ferry
193,ASP22GEN-1037-Sunday-00_109250_1..N03R,Van Cortlandt Park-242 St
194,ASP22GEN-1037-Sunday-00_109350_1..S03R,South Ferry
195,ASP22GEN-1037-Sunday-00_110050_1..N03R,Van Cortlandt Park-242 St
196,ASP22GEN-1037-Sunday-00_110150_1..S03R,South Ferry
197,ASP22GEN-1037-Sunday-00_110850_1..N03R,Van Cortlandt Park-242 St
198,ASP22GEN-1037-Sunday-00_110950_1..S03R,South Ferry
199,ASP22GEN-1037-Sunday-00_111650_1..N03R,Van Cortlandt Park-242 St
200,ASP22GEN-1037-Sunday-00_111750_1..S03R,South Ferry
201,ASP22GEN-1037-Sunday-00_112450_1..N03R,Van Cortlandt Park-242 St
202,ASP22GEN-1037-Sunday-00_112550_1..S03R,South Ferry
203,ASP22GEN-1037-Sunday-00_113250_1..N03R,Van Cortlandt Park-242 St
204,ASP22GEN-1037-Sunday-00_113350_1..S03R,South Ferry
205,ASP22GEN-1037-Sunday-00_114050_1..N03R,Van Cortlandt Park-242 St
206,ASP22GEN-1037-Sunday-00_114150_1..S03R,South Ferry
207,ASP22GEN-1037-Sunday-00_114850_1..N03R,Van Cortlandt Park-242 St
208,ASP22GEN-1037-Sunday-00_114950_1..S03R,South Ferry
209,ASP22GEN-1037-Sunday-00_115650_1..N03R,Van Cortlandt Park-242 St
210,ASP22GEN-1037-Sunday-00_115750_1..S03R,South Ferry
211,ASP22GEN-1037-Sunday-00_116450_1..N03R,Van Cortlandt Park-242 St
212,ASP22GEN-1037-Sunday-00_116550_1..S03R,South Ferry
213,ASP22GEN-1037-Sunday-00_117250_1..N03R,Van Cortlandt Park-242 St
214,ASP22GEN-1037-Sunday-00_117350_1..S03R,South Ferry
215,ASP22GEN-1037-Sunday-00_118050_1..N03R,Van Cortlandt Park-242 St
216,ASP22GEN-1037-Sunday-00_118150_1..S03R,South Ferry
217,ASP22GEN-1037-Sunday-00_118850_1..N03R,Van Cortlandt Park-242 St
218,ASP22GEN-1037-Sunday-00_118950_1..S03R,South Ferry
219,ASP22GEN-1037-Sunday-00_119650_1..N03R,Van Cortlandt Park-242 St
220,ASP22GEN-1037-Sunday-00_119750_1..S03R,South Ferry
221,ASP22GEN-1037-Sunday-00_120450_1..N03R,Van Cortlandt Park-242 St
222,ASP22GEN-1037-Sunday-00_120550_1..S03R,South Ferry
223,ASP22GEN-1037-Sunday-00_121250_1..N03R,Van Cortlandt Park-242 St
224,ASP22GEN-1037-Sunday-00_121350_1..S03R,South Ferry
225,ASP22GEN-1037-Sunday-00_122050_1..N03R,Van Cortlandt Park-242 St
226,ASP22GEN-1037-Sunday-00_122150_1..S03R,South Ferry
227,ASP22GEN-1037-Sunday-00_122850_1..N03R,Van Cortlandt Park-242 St
228,ASP22GEN-1037-Sunday-00_122950_1..S03R,South Ferry
229,ASP22GEN-1037-Sunday-00_123650_1..N03R,Van Cortlandt Park-242 St
230,ASP22GEN-1037-Sunday-00_123750_1..S03R,South Ferry
231,ASP22GEN-1037-Sunday-00_124450_1..N03R,Van Cortlandt Park-242 St
232,ASP22GEN-1037-Sunday-00_124550_1..S03R,South Ferry
233,ASP22GEN-1037-Sunday-00_125250_1..N03R,Van Cortlandt Park-242 St
234,ASP22GEN-1037-Sunday-00_125350_1..S03R,South Ferry
235,ASP22GEN-1037-Sunday-00_126050_1..N03R,Van Cortlandt Park-242 St
236,ASP22GEN-1037-Sunday-00_126150_1..S03R,South Ferry
237,ASP22GEN-1037-Sunday-00_126850_1..N03R,Van Cortlandt Park-242 St
238,ASP22GEN-1037-Sunday-00_127150_1..S03R,South Ferry
239,ASP22GEN-1037-Sunday-00_127650_1..N03R,Van Cortlandt Park-242 St
240,ASP22GEN-1037-Sunday-00_128150_1..S03R,South Ferry
241,ASP22GEN-1037-Sunday-00_128450_1..N03R,Van Cortlandt Park-242 St
242,ASP22GEN-1037-Sunday-00_129150_1..S03R,South Ferry
243,ASP22GEN-1037-Sunday-00_129250_1..N03R,Van Cortlandt Park-242 St
244,ASP22GEN-1037-Sunday-00_130050_1..N03R,Van Cortlandt Park-242 St
245,ASP22GEN-1037-Sunday-00_130150_1..S03R,South Ferry
246,ASP22GEN-1037-Sunday-00_130850_1..N03R,Van Cortlandt Park-242 St
247,ASP22GEN-1037-Sunday-00_131150_1..S03R,South Ferry
248,ASP22GEN-1037-Sunday-00_131650_1..N03R,Van Cortlandt Park-242 St
249,ASP22GEN-1037-Sunday-00_132350_1..S03R,South Ferry
250,ASP22GEN-1037-Sunday-00_132450_1..N03R,Van Cortlandt Park-242 St
251,ASP22GEN-1037-Sunday-00_133250_1..N03R,Van Cortlandt Park-242 St
252,ASP22GEN-1037-Sunday-00_133550_1..S03R,South Ferry
253,ASP22GEN-1037-Sunday-00_134050_1..N03R,Van Cortlandt Park-242 St
254,ASP22GEN-1037-Sunday-00_134750_1..S03R,South Ferry
255,ASP22GEN-1037-Sunday-00_135050_1..N03R,Van Cortlandt Park-242 St
256,ASP22GEN-1037-Sunday-00_135950_1..S03R,South Ferry
257,ASP22GEN-1037-Sunday-00_136050_1..N03R,Van Cortlandt Park-242 St
258,ASP22GEN-1037-Sunday-00_137050_1..N03R,Van Cortlandt Park-242 St
259,ASP22GEN-1037-Sunday-00_137150_1..S03R,South Ferry
260,ASP22GEN-1037-Sunday-00_138050_1..N03R,Van Cortlandt Park-242 St
261,ASP22GEN-1037-Sunday-00_138550_1..S03R,South Ferry
262,ASP22GEN-1037-Sunday-00_139050_1..N03R,Van Cortlandt Park-242 St
263,ASP22GEN-1037-Sunday-00_140050_1..S03R,South Ferry
264,ASP22GEN-1037-Sunday-00_140250_1..N03R,Van Cortlandt Park-242 St
265,ASP22GEN-1037-Sunday-00_141450_1..N03R,Van Cortlandt Park-242 St
266,ASP22GEN-1037-Sunday-00_141550_1..S03R,South Ferry
267,ASP22GEN-1037-Sunday-00_142650_1..N03R,Van Cortlandt Park-242 St
268,ASP22GEN-1037-Sunday-00_143250_1..S03R,South Ferry
269,ASP22GEN-1037-Sunday-00_144000_1..N03R,Van Cortlandt Park-242 St
270,ASP22GEN-1037-Sunday-00_145400_1..N03R,Van Cortlandt Park-242 St
271,ASP22GEN-1037-Sunday-00_146800_1..N03R,Van Cortlandt Park-242 St
272,ASP22GEN-1037-Sunday-00_148500_1..N03R,Van Cortlandt Park-242 St
273,ASP22GEN-1037-Sunday-00_150000_1..N03R,Van Cortlandt Park-242 St
1324,ASP22GEN-2048-Sunday-00_000250_2..S08R,Flatbush Av-Brooklyn College
1325,ASP22GEN-2048-Sunday-00_002250_2..S08R,Flatbush Av-Brooklyn College
1326,ASP22GEN-2048-Sunday-00_004250_2..S08R,Flatbush Av-Brooklyn College
1327,ASP22GEN-2048-Sunday-00_006250_2..S08R,Flatbush Av-Brooklyn College
1328,ASP22GEN-2048-Sunday-00_008250_2..S08R,Flatbush Av-Brooklyn College
1329,ASP22GEN-2048-Sunday-00_010250_2..S08R,Flatbush Av-Brooklyn College
1330,ASP22GEN-2048-Sunday-00_012250_2..S08R,Flatbush Av-Brooklyn College
1331,ASP22GEN-2048-Sunday-00_013150_2..N08R,Wakefield-241 St
1332,ASP22GEN-2048-Sunday-00_014250_2..S08R,Flatbush Av-Brooklyn College
1333,ASP22GEN-2048-Sunday-00_015150_2..N08R,Wakefield-241 St
1334,ASP22GEN-2048-Sunday-00_016250_2..S08R,Flatbush Av-Brooklyn College
1335,ASP22GEN-2048-Sunday-00_017150_2..N08R,Wakefield-241 St
1336,ASP22GEN-2048-Sunday-00_018250_2..S08R,Flatbush Av-Brooklyn College
1337,ASP22GEN-2048-Sunday-00_019150_2..N08R,Wakefield-241 St
1338,ASP22GEN-2048-Sunday-00_020250_2..S08R,Flatbush Av-Brooklyn College
1339,ASP22GEN-2048-Sunday-00_021150_2..N08R,Wakefield-241 St
1340,ASP22GEN-2048-Sunday-00_022250_2..S08R,Flatbush Av-Brooklyn College
1341,ASP22GEN-2048-Sunday-00_023150_2..N08R,Wakefield-241 St
1342,ASP22GEN-2048-Sunday-00_024250_2..S08R,Flatbush Av-Brooklyn College
1343,ASP22GEN-2048-Sunday-00_025150_2..N08R,Wakefield-241 St
1344,ASP22GEN-2048-Sunday-00_026250_2..S08R,Flatbush Av-Brooklyn College
1345,ASP22GEN-2048-Sunday-00_027150_2..N08R,Wakefield-241 St
1346,ASP22GEN-2048-Sunday-00_028250_2..S08R,Flatbush Av-Brooklyn College
1347,ASP22GEN-2048-Sunday-00_029150_2..N08R,Wakefield-241 St
1348,ASP22GEN-2048-Sunday-00_030250_2..S08R,Flatbush Av-Brooklyn College
1349,ASP22GEN-2048-Sunday-00_031150_2..N08R,Wakefield-241 St
1350,ASP22GEN-2048-Sunday-00_031850_2..S08R,Flatbush Av-Brooklyn College
1351,ASP22GEN-2048-Sunday-00_033150_2..N08R,Wakefield-241 St
1352,ASP22GEN-2048-Sunday-00_033550_2..S08R,Flatbush Av-Brooklyn College
1353,ASP22GEN-2048-Sunday-00_034650_2..N08R,Wakefield-241 St
1354,ASP22GEN-2048-Sunday-00_034850_2..S08R,Flatbush Av-Brooklyn College
1355,ASP22GEN-2048-Sunday-00_036150_2..N08R,Wakefield-241 St
1356,ASP22GEN-2048-Sunday-00_036400_2..S08R,Flatbush Av-Brooklyn College
1357,ASP22GEN-2048-Sunday-00_037650_2..N08R,Wakefield-241 St
1358,ASP22GEN-2048-Sunday-00_037950_2..S01R,Flatbush Av-Brooklyn College
1359,ASP22GEN-2048-Sunday-00_039150_2..N08R,Wakefield-241 St
1360,ASP22GEN-2048-Sunday-00_039500_2..S01R,Flatbush Av-Brooklyn College
1361,ASP22GEN-2048-Sunday-00_040650_2..N08R,Wakefield-241 St
1362,ASP22GEN-2048-Sunday-00_041000_2..S01R,Flatbush Av-Brooklyn College
1363,ASP22GEN-2048-Sunday-00_042150_2..N08R,Wakefield-241 St
1364,ASP22GEN-2048-Sunday-00_042450_2..S01R,Flatbush Av-Brooklyn College
1365,ASP22GEN-2048-Sunday-00_043650_2..N01R,Wakefield-241 St
1366,ASP22GEN-2048-Sunday-00_043950_2..S01R,Flatbush Av-Brooklyn College
1367,ASP22GEN-2048-Sunday-00_045150_2..N01R,Wakefield-241 St
1368,ASP22GEN-2048-Sunday-00_045250_2..S01R,Flatbush Av-Brooklyn College
1369,ASP22GEN-2048-Sunday-00_046450_2..S01R,Flatbush Av-Brooklyn College
1370,ASP22GEN-2048-Sunday-00_046600_2..N01R,Wakefield-241 St
1371,ASP22GEN-2048-Sunday-00_047650_2..S01R,Flatbush Av-Brooklyn College
1372,ASP22GEN-2048-Sunday-00_048100_2..N01R,Wakefield-241 St
1373,ASP22GEN-2048-Sunday-00_048800_2..S01R,Flatbush Av-Brooklyn College
1374,ASP22GEN-2048-Sunday-00_049650_2..N01R,Wakefield-241 St
1375,ASP22GEN-2048-Sunday-00_050000_2..S01R,Flatbush Av-Brooklyn College
1376,ASP22GEN-2048-Sunday-00_051150_2..N01R,Wakefield-241 St
1377,ASP22GEN-2048-Sunday-00_051200_2..S01R,Flatbush Av-Brooklyn College
1378,ASP22GEN-2048-Sunday-00_052300_2..N01R,Wakefield-241 St
1379,ASP22GEN-2048-Sunday-00_052400_2..S01R,Flatbush Av-Brooklyn College
1380,ASP22GEN-2048-Sunday-00_053400_2..S01R,Flatbush Av-Brooklyn College
1381,ASP22GEN-2048-Sunday-00_053500_2..N01R,Wakefield-241 St
1382,ASP22GEN-2048-Sunday-00_054550_2..N01R,Wakefield-241 St
1383,ASP22GEN-2048-Sunday-00_054600_2..S01R,Flatbush Av-Brooklyn College
1384,ASP22GEN-2048-Sunday-00_055750_2..N01R,Wakefield-241 St
1385,ASP22GEN-2048-Sunday-00_055800_2..S01R,Flatbush Av-Brooklyn College
1386,ASP22GEN-2048-Sunday-00_056950_2..N01R,Wakefield-241 St
1387,ASP22GEN-2048-Sunday-00_057000_2..S01R,Flatbush Av-Brooklyn College
1388,ASP22GEN-2048-Sunday-00_058000_2..S01R,Flatbush Av-Brooklyn College
1389,ASP22GEN-2048-Sunday-00_058150_2..N01R,Wakefield-241 St
1390,ASP22GEN-2048-Sunday-00_058750_2..S01R,Flatbush Av-Brooklyn College
1391,ASP22GEN-2048-Sunday-00_059350_2..N01R,Wakefield-241 St
1392,ASP22GEN-2048-Sunday-00_059550_2..S01R,Flatbush Av-Brooklyn College
1393,ASP22GEN-2048-Sunday-00_060450_2..S01R,Flatbush Av-Brooklyn College
1394,ASP22GEN-2048-Sunday-00_060550_2..N01R,Wakefield-241 St
1395,ASP22GEN-2048-Sunday-00_061150_2..S01R,Flatbush Av-Brooklyn College
